%			Universidad de Costa Rica 
% 		    Escuela de Ingeniería Eléctrica
%	Inteligencia Artificial Aplicada a la Ingeniería Eléctrica

%		Proyecto 1 - Biometría de Pasos
%	Vectores de características para el audio 1 y 2 de los datos train

% Creado por: Raquel Sofía Corrales Marín
% Fecha de creación: 20/9/2022

@relation pasos_train_clase1_y_clase2

@attribute atributo1 NUMERIC
@attribute atributo2 NUMERIC
@attribute atributo3 NUMERIC
@attribute atributo4 NUMERIC
@attribute atributo5 NUMERIC
@attribute atributo6 NUMERIC
@attribute atributo7 NUMERIC
@attribute atributo8 NUMERIC
@attribute atributo9 NUMERIC
@attribute atributo10 NUMERIC
@attribute atributo11 NUMERIC
@attribute atributo12 NUMERIC
@attribute atributo13 NUMERIC
@attribute atributo14 NUMERIC
@attribute atributo15 NUMERIC
@attribute atributo16 NUMERIC
@attribute atributo17 NUMERIC
@attribute atributo18 NUMERIC
@attribute atributo19 NUMERIC
@attribute atributo20 NUMERIC
@attribute atributo21 NUMERIC
@attribute atributo22 NUMERIC
@attribute atributo23 NUMERIC
@attribute atributo24 NUMERIC
@attribute atributo25 NUMERIC
@attribute atributo26 NUMERIC
@attribute atributo27 NUMERIC
@attribute atributo28 NUMERIC
@attribute atributo29 NUMERIC
@attribute atributo30 NUMERIC
@attribute atributo31 NUMERIC
@attribute atributo32 NUMERIC 
@attribute atributo33 NUMERIC
@attribute atributo34 NUMERIC
@attribute atributo35 NUMERIC
@attribute atributo36 NUMERIC
@attribute atributo37 NUMERIC
@attribute atributo38 NUMERIC
@attribute atributo39 NUMERIC
@attribute atributo40 NUMERIC
@attribute atributo41 NUMERIC
@attribute atributo42 NUMERIC
@attribute atributo43 NUMERIC
@attribute atributo44 NUMERIC
@attribute atributo45 NUMERIC
@attribute atributo46 NUMERIC
@attribute atributo47 NUMERIC
@attribute atributo48 NUMERIC
@attribute atributo49 NUMERIC
@attribute atributo50 NUMERIC
@attribute atributo51 NUMERIC
@attribute atributo52 NUMERIC
@attribute atributo53 NUMERIC
@attribute atributo54 NUMERIC
@attribute atributo55 NUMERIC
@attribute atributo56 NUMERIC
@attribute atributo57 NUMERIC
@attribute atributo58 NUMERIC
@attribute atributo59 NUMERIC
@attribute atributo60 NUMERIC
@attribute atributo61 NUMERIC
@attribute atributo62 NUMERIC
@attribute atributo63 NUMERIC
@attribute atributo64 NUMERIC
@attribute atributo65 NUMERIC
@attribute atributo66 NUMERIC
@attribute atributo67 NUMERIC
@attribute atributo68 NUMERIC
@attribute class {clase1, clase2}

@data
0.0590373, 0.00249253, 3.03759, 0.241158, 0.292735, 0.247683, 0.0028493, 0.0170333, -27.3164, 2.57602, 0.382586, 0.394608, 0.148727, 0.1651, 0.275343, 0.135447, 0.0860606, 0.0344011, 0.0960578, 0.140456, 0.0510823, 0.00741707, 0.00224387, 0.0683344, 0.00680561, 0.0263005, 0.00505899, 0.0758085, 0.00134315, 0.00425303, 0.0182092, 0.0621156, 0.00265879, 0.0347101, -0.000187539, 1.05709e-05, 0.00064218, -0.000678736, -0.000290609, -0.000420851, 1.09966e-05, 1.66667e-05, 0.0172502, -0.00547967, 0.00356786, 0.00202362, -0.000315095, -0.00213469, 0.00139778, -0.00264206, -0.00157117, 0.00156123, -1.23118e-05, 7.26062e-05, 0.00217027, -1.49843e-05, 1.14089e-05, -0.00060877, 8.23611e-05, 0.000183339, -1.40097e-06, 0.00126592, -5.74522e-06, 7.26114e-05, 3.49981e-05, -0.000853949, -1.40723e-05, 9.20237e-05, clase1
0.0357387, 0.0157957, 3.08113, 0.198026, 0.276459, 0.13272, 0.00464338, 0.0130958, -25.4596, 2.90162, 0.457654, 0.404365, 0.0791933, 0.265868, 0.311893, 0.203847, 0.117675, 0.0219169, 0.123352, 0.118724, 0.0175003, 0.00891562, 0.00161304, 0.113939, 0.00855007, 0.0359246, 0.00601609, 0.0497006, 0.000871286, 0.0023648, 0.0117928, 0.04, 0.00187448, 0.042176, -0.000302146, 0.000106139, 0.00270181, -0.000439494, -9.91358e-05, -0.00135791, 3.41981e-05, 1.25e-05, 0.00638579, 0.0111403, -0.00544552, -0.00269562, -0.00128352, 0.000887879, 0.00209371, 0.00130325, -0.000442019, 0.00193778, 0.00197564, 0.000737274, 0.00213663, 0.000164063, -6.54906e-06, 0.000373705, -0.000131002, -9.39115e-05, 0.00012228, -0.000659386, -3.19669e-06, -6.9123e-05, -0.000157687, 0.000331259, -3.88438e-06, 8.59636e-05, clase1
0.0196874, 0.0347511, 3.18169, 0.165094, 0.258617, 0.0694737, 0.00626646, 0.00890833, -25.9616, 2.95235, 0.451346, 0.50854, 0.141266, 0.360797, 0.484971, 0.246114, 0.086848, 0.0778428, 0.174765, 0.258986, 0.162759, 0.00608811, 0.000947704, 0.185928, 0.002576, 0.0333558, 0.00445881, 0.0257871, 0.000532128, 0.00221176, 0.00695826, 0.0308575, 0.00108997, 0.054566, 0.000493853, -8.10946e-05, -0.00274726, 0.000435021, 6.57712e-05, 0.00190272, 4.94087e-05, 0.0001875, 0.000650265, -0.020161, -0.00189937, 0.0031059, 0.00068738, 0.00209603, 0.00159702, -0.00134301, 0.00180073, 0.000243157, -0.00273716, -0.00466648, 0.000465954, -0.000126035, 7.73491e-06, -0.0019413, 4.45518e-05, 0.000155355, -0.000245123, 0.000566824, 1.90433e-05, -8.26874e-06, 0.000710468, 0.000218888, 2.04977e-05, -0.000365797, clase1
0.0621275, 0.00566575, 3.04619, 0.255167, 0.301, 0.255251, 0.0027509, 0.0148708, -26.3767, 2.51035, 0.466669, 0.510774, 0.178176, 0.255331, 0.268874, 0.147358, 0.0813062, 0.0429052, 0.107241, 0.113196, 0.0540301, 0.00759903, 0.00150296, 0.0454411, 0.00537341, 0.033676, 0.00569864, 0.0829091, 0.00106222, 0.00297678, 0.0201067, 0.0777835, 0.00167657, 0.037945, -0.000156283, -1.94496e-05, -0.00254543, 0.000916477, 0.000612597, -0.00116711, 2.40616e-05, -0.000533333, -0.0365032, 0.0218947, 0.00793677, -0.00128508, 0.00495568, -0.00113782, 0.000368749, -0.0018398, -0.00190182, 0.00317113, 0.00168981, -0.00189291, 0.000795674, -1.30779e-05, -1.69058e-05, -2.32027e-05, -1.39878e-05, 9.52572e-05, -4.19072e-05, -4.89009e-05, -4.24432e-06, 1.47085e-05, 0.000654135, 0.000387194, -1.3548e-05, 0.000101784, clase1
0.0734361, 0.00238825, 3.03746, 0.254912, 0.295366, 0.319281, 0.00257856, 0.0208083, -27.4209, 2.40129, 0.421161, 0.48727, 0.116227, 0.181283, 0.21996, 0.0990023, 0.0649602, -0.0140336, 0.0179546, 0.0658525, 0.00111328, 0.00926677, 0.00238717, 0.0496025, 0.00990876, 0.0285438, 0.00731577, 0.0703438, 0.00107433, 0.00395603, 0.0236902, 0.0578371, 0.00266426, 0.0307618, -0.0003209, 2.50045e-05, 0.00132615, -0.000513487, -3.64979e-05, -0.00275774, 1.25137e-05, -4.58333e-05, 0.00577973, 0.00350544, -0.000640885, 0.00144888, 0.00421915, 0.00451972, 0.00236992, -0.00251268, 0.00060137, -0.001022, 0.000746954, 0.000147627, -0.000316152, -0.000211241, -2.26533e-05, 0.0010489, 3.47195e-05, -1.64391e-05, -9.13163e-05, -0.000146261, -1.29733e-06, 1.662e-05, 0.000221756, -0.00057653, -1.17272e-05, -8.50057e-06, clase1
0.0520608, 0.00734969, 3.08184, 0.238692, 0.292888, 0.213078, 0.00289471, 0.0147542, -26.24, 2.48248, 0.497485, 0.500843, 0.139013, 0.189634, 0.272639, 0.135603, 0.136186, 0.132688, 0.100046, 0.14847, 0.0806832, 0.00577173, 0.00173969, 0.0626607, 0.00416228, 0.0295605, 0.00502738, 0.0617947, 0.000979196, 0.00503543, 0.0182867, 0.0859838, 0.00218917, 0.0408723, 8.33507e-05, 1.50609e-05, -0.00085384, 0.000187537, 8.15847e-05, -0.000837469, 2.6666e-05, -7.5e-05, -0.00931402, 0.00473256, 0.00448587, 0.00407065, 0.00320469, -0.000749582, -0.00127178, -0.00387767, -0.0020445, -0.000742669, 0.000809679, 0.00300539, 0.00203541, -0.000105, -4.44233e-05, -0.000757619, 7.40189e-05, -0.000156267, -2.93678e-05, -0.000161493, -7.46237e-05, 1.58929e-05, 0.0011371, 9.41837e-07, -3.01179e-05, -3.55451e-06, clase1
0.0656074, 0.00455231, 3.06158, 0.256656, 0.299971, 0.277116, 0.00274415, 0.01865, -26.5407, 2.60707, 0.405671, 0.406935, 0.155031, 0.267603, 0.3444, 0.18033, 0.0610562, 0.0161776, 0.106845, 0.0989925, 0.0473737, 0.00634458, 0.00171084, 0.0669445, 0.00760285, 0.0401952, 0.00495792, 0.0606265, 0.000967892, 0.0037128, 0.0228305, 0.0520352, 0.00246197, 0.033229, -0.000543863, 6.26457e-05, -0.000596978, -0.000885958, -0.000358218, -0.00145918, 4.58748e-05, -8.33333e-06, 0.0189832, 0.00149432, 0.00390421, -0.00222432, -0.00611371, -0.00486311, 0.00234683, -0.000118617, -0.00387238, -0.00311531, 0.000203308, 0.00027584, 0.00285397, 8.35143e-05, 1.1212e-05, -0.000102953, 7.22624e-05, -7.24669e-05, 0.000135321, -6.17236e-05, -4.86293e-06, -8.17586e-05, 0.00060529, -0.000522994, 3.95323e-05, -3.60225e-05, clase1
0.0718712, 0.00246084, 3.02936, 0.243884, 0.287909, 0.327703, 0.00226861, 0.0259458, -27.1092, 2.37494, 0.464574, 0.501855, 0.130795, 0.140731, 0.162398, 0.0697984, 0.0781316, 0.0219225, 0.0374263, 0.0463538, 0.0418826, 0.00991674, 0.00231146, 0.0545563, 0.00964621, 0.0293751, 0.00861995, 0.0643797, 0.00107475, 0.00541782, 0.0230172, 0.049119, 0.00228639, 0.0286595, -0.000302146, -1.99766e-06, 0.00330894, 4.18681e-05, 1.88119e-05, 4.0224e-05, 2.86378e-05, -1.66667e-05, 0.000166752, 0.00605581, -0.000934698, -0.00284347, 0.00755463, 0.00293623, 0.00394137, -0.000345257, -0.00230387, -0.00656504, -0.00433953, -0.00252427, 0.00043088, 2.25079e-05, 2.36797e-06, 0.000300268, 4.02599e-05, 0.000218693, -5.09746e-05, -0.000321104, -7.65381e-07, -0.000124412, 0.000430102, -0.000844952, -4.19196e-06, -0.000197998, clase1
0.0698625, 0.0076086, 3.08455, 0.244004, 0.292769, 0.301698, 0.00247413, 0.0229583, -25.4378, 2.48176, 0.395124, 0.452666, 0.132831, 0.0933558, 0.178418, 0.0257597, 0.0287876, 0.0503564, 0.0692125, 0.0749257, 0.0661278, 0.00914932, 0.00218653, 0.0348696, 0.00959643, 0.0365505, 0.0122314, 0.0634079, 0.00137169, 0.00532647, 0.0229278, 0.0620539, 0.00244899, 0.0275896, -0.000425089, 6.17822e-05, -7.93155e-05, -0.0003723, 3.40319e-05, -0.00257146, 2.50738e-05, -5.83333e-05, 0.00494661, 0.00555824, -0.00167076, 0.000257861, 0.000912823, 0.000550816, 3.58625e-05, 0.00449736, -0.000609235, 0.00147121, -0.000741171, 0.000490524, -0.000828814, -0.000105642, 1.43722e-05, -2.44339e-06, -1.89223e-05, 4.97952e-05, 0.000231802, 0.000108908, -5.15199e-06, -6.38084e-05, -0.000237846, 0.000614351, 1.30475e-05, 0.000132952, clase1
0.0463763, 0.00811901, 3.07137, 0.221934, 0.291146, 0.170229, 0.00348972, 0.0130458, -25.736, 2.7997, 0.262923, 0.581306, 0.172279, 0.157445, 0.217149, 0.116036, 0.110632, 0.0632571, 0.0723484, 0.0625698, 0.079258, 0.00994196, 0.00194155, 0.0570144, 0.00692814, 0.0320014, 0.0074202, 0.0655516, 0.000718272, 0.00451451, 0.0179671, 0.0740701, 0.00200381, 0.0347432, -3.33403e-05, -1.71919e-05, 0.000847369, -0.000151952, -0.00012489, 0.0004834, 3.0884e-05, 6.25e-05, 0.00407859, 0.00356107, -0.0012294, -0.00489682, -0.00211596, -0.000589945, 0.00392196, -0.000476888, 0.000157797, -0.000502786, -0.00115409, 0.00216527, -0.00113975, -6.48476e-05, 9.73927e-06, -0.000930437, -4.00683e-05, 0.000101737, 8.2236e-05, 3.86717e-05, -1.87196e-07, 6.20182e-05, 8.96207e-08, 0.000315951, 8.70474e-06, -0.000121746, clase1
